train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,train/test
6,18,19,130,0.1932,6.4947,100.0,33.33,5.263157894736842,3.1666666666666665
7,22,25,133,0.2687,13.0134,100.0,36.36,20.0,3.5714285714285716
8,29,30,136,0.2511,17.3497,100.0,37.93,16.666666666666664,3.75
9,37,35,148,0.2273,22.4994,100.0,40.54,14.285714285714285,3.888888888888889
10,45,42,157,0.3549,28.772,100.0,37.78,21.428571428571427,4.2
11,47,46,169,0.2565,29.5443,100.0,38.3,28.26086956521739,4.181818181818182
11,47,46,169,0.2721,32.15,100.0,38.3,28.26086956521739,4.181818181818182
12,47,46,169,0.2832,34.7577,100.0,36.17,23.91304347826087,3.8333333333333335
13,53,52,186,0.2819,30.7363,100.0,41.510000000000005,36.53846153846153,4.0
14,70,64,189,0.8558,39.6245,92.86,31.430000000000003,25.0,4.571428571428571
15,70,64,189,1.1712,34.4405,93.33,30.0,28.125,4.266666666666667
16,73,67,192,1.4362,39.2509,87.5,28.77,29.850746268656714,4.1875
17,73,67,192,1.7996,41.2844,82.35,27.400000000000002,26.865671641791046,3.9411764705882355
18,85,74,195,2.1014,46.8758,77.78,22.35,21.62162162162162,4.111111111111111
19,87,78,201,1.9967,51.608,84.21,22.99,34.61538461538461,4.105263157894737
20,87,81,204,2.3091,60.8656,80.0,22.99,37.03703703703704,4.05
21,87,84,207,2.1125,61.1592,80.95,24.14,33.33333333333333,4.0
22,87,84,207,2.609,58.5879,77.27000000000001,20.69,30.952380952380953,3.8181818181818183
23,87,84,207,2.6182,56.0553,82.61,21.84,34.523809523809526,3.652173913043478
24,87,84,207,2.92,56.6379,79.17,25.290000000000003,29.761904761904763,3.5
25,87,84,207,3.1136,54.5763,80.0,28.74,33.33333333333333,3.36
26,90,89,210,3.5793,51.5914,76.92,24.44,35.95505617977528,3.423076923076923
27,93,90,213,3.573,51.983,77.78,27.96,37.77777777777778,3.3333333333333335
28,93,90,213,3.6085,48.8778,75.0,26.88,40.0,3.2142857142857144
29,93,90,213,3.7137,50.6933,79.31,26.88,34.44444444444444,3.103448275862069
30,96,92,219,3.532,55.2657,80.0,29.17,31.521739130434785,3.066666666666667
31,96,92,219,3.6866,63.4214,80.65,34.38,29.347826086956523,2.967741935483871
32,96,92,219,4.21,53.866,81.25,29.17,26.08695652173913,2.875
33,96,92,219,4.684,55.8951,75.76,27.08,29.347826086956523,2.787878787878788
34,96,92,219,4.8311,51.1339,79.41,31.25,29.347826086956523,2.7058823529411766
35,97,96,225,4.9699,51.4096,80.0,27.839999999999996,34.375,2.742857142857143
36,97,96,225,5.1001,48.8077,77.78,35.05,35.41666666666667,2.6666666666666665
37,97,96,225,5.5983,56.0716,75.68,35.05,33.33333333333333,2.5945945945945947
38,97,96,225,5.5719,55.0707,76.32,31.96,32.29166666666667,2.526315789473684
39,101,101,228,5.6827,55.7545,71.78999999999999,31.680000000000003,31.683168316831683,2.58974358974359
40,104,104,231,5.7502,59.8362,75.0,29.81,37.5,2.6
41,104,104,231,6.1496,53.2173,75.61,28.849999999999998,33.65384615384615,2.5365853658536586
42,104,104,231,6.1561,60.0337,76.19,33.650000000000006,32.69230769230769,2.4761904761904763
43,104,104,231,6.7931,49.6653,74.42,32.690000000000005,37.5,2.4186046511627906
44,104,104,231,6.8608,47.7312,70.45,35.58,29.807692307692307,2.3636363636363638
45,104,104,231,7.2326,46.5709,73.33,35.58,33.65384615384615,2.311111111111111
46,104,104,231,7.7168,46.8302,73.91,28.849999999999998,34.61538461538461,2.260869565217391
47,104,104,231,8.0635,49.1692,68.08999999999999,33.650000000000006,38.46153846153847,2.2127659574468086
48,104,104,231,7.9401,46.2108,75.0,36.54,35.57692307692308,2.1666666666666665
49,104,104,231,8.2578,48.5092,69.39,35.58,36.53846153846153,2.122448979591837
50,104,104,231,8.2096,42.0599,72.0,34.62,37.5,2.08
51,104,104,231,8.641,47.6814,72.55,32.690000000000005,34.61538461538461,2.0392156862745097
52,104,104,231,8.3096,48.2108,75.0,37.5,36.53846153846153,2.0
53,104,104,231,8.5036,48.7989,75.47,30.769999999999996,33.65384615384615,1.9622641509433962
54,104,104,231,10.0411,49.8715,70.37,30.769999999999996,33.65384615384615,1.9259259259259258
55,104,104,231,8.9542,45.1789,76.36,33.650000000000006,43.269230769230774,1.8909090909090909
56,104,104,231,9.2882,46.2962,76.79,33.650000000000006,36.53846153846153,1.8571428571428572
57,104,104,231,8.7993,48.2092,80.7,33.650000000000006,41.34615384615385,1.8245614035087718
58,108,108,234,9.2072,42.3421,77.59,36.11,40.74074074074074,1.8620689655172413
59,108,108,234,9.0638,44.457,77.97,37.04,41.66666666666667,1.8305084745762712
60,108,108,234,9.8459,46.3272,71.67,34.260000000000005,42.592592592592595,1.8
61,108,108,234,9.5397,44.0262,70.49,37.04,40.74074074074074,1.7704918032786885
62,108,108,234,9.5365,45.6098,72.58,33.33,42.592592592592595,1.7419354838709677
63,108,108,234,10.6982,48.0243,73.02,34.260000000000005,44.44444444444444,1.7142857142857142
64,108,108,234,11.6586,43.1265,67.19000000000001,40.739999999999995,33.33333333333333,1.6875
65,108,108,234,11.5934,44.4962,66.14999999999999,33.33,35.18518518518518,1.6615384615384616
66,108,108,234,12.1401,44.1765,69.69999999999999,30.56,37.96296296296296,1.6363636363636365
67,108,108,234,12.8279,49.0893,65.67,29.630000000000003,35.18518518518518,1.6119402985074627
68,108,108,234,13.5548,42.2173,60.29,37.04,52.77777777777778,1.588235294117647
69,108,108,234,12.4559,47.9501,68.12,32.41,33.33333333333333,1.565217391304348
70,108,108,234,12.0601,47.0892,72.86,33.33,41.66666666666667,1.542857142857143
71,108,108,234,13.495,50.7432,70.42,37.04,34.25925925925926,1.5211267605633803
72,108,108,234,14.1831,48.0894,65.28,28.7,37.96296296296296,1.5
73,108,108,234,16.2867,47.6488,64.38000000000001,32.41,30.555555555555557,1.4794520547945205
74,108,108,234,14.6647,49.5566,71.61999999999999,32.41,37.03703703703704,1.4594594594594594
75,108,108,234,14.8756,42.9212,66.67,29.630000000000003,39.81481481481482,1.44
76,108,108,234,14.2556,44.5534,67.11,33.33,37.96296296296296,1.4210526315789473
77,108,108,234,14.294,47.8891,71.43,33.33,36.11111111111111,1.4025974025974026
78,108,108,234,15.0328,45.5076,67.95,32.41,39.81481481481482,1.3846153846153846
79,108,108,234,16.0615,43.2414,63.29,34.260000000000005,51.85185185185185,1.3670886075949367
80,108,108,234,19.3993,42.6634,55.00000000000001,31.480000000000004,38.88888888888889,1.35
81,108,108,234,16.8037,45.6741,59.260000000000005,36.11,33.33333333333333,1.3333333333333333
82,108,108,234,15.9389,45.1875,68.28999999999999,33.33,43.51851851851852,1.3170731707317074
83,108,108,234,16.1879,43.7248,68.67,32.41,37.96296296296296,1.3012048192771084
84,108,108,234,16.1731,43.9609,70.24000000000001,34.260000000000005,41.66666666666667,1.2857142857142858
85,108,108,234,17.0659,44.1326,63.53,29.630000000000003,34.25925925925926,1.2705882352941176
86,108,108,234,18.0594,41.8896,60.47,30.56,37.96296296296296,1.255813953488372
87,108,108,234,17.3782,41.9427,64.37,37.96,40.74074074074074,1.2413793103448276
88,108,108,234,17.8286,44.5194,61.36000000000001,33.33,38.88888888888889,1.2272727272727273
89,108,108,234,16.9535,49.83,69.66,33.33,41.66666666666667,1.2134831460674158
90,108,108,234,17.7987,48.1405,62.22,32.41,32.407407407407405,1.2
91,108,108,234,18.1794,43.1082,68.13,30.56,42.592592592592595,1.1868131868131868
92,108,108,234,18.3021,44.0114,68.47999999999999,32.41,44.44444444444444,1.173913043478261
93,108,108,234,19.3767,47.516,70.97,33.33,41.66666666666667,1.1612903225806452
94,108,108,234,20.0364,44.3679,60.64000000000001,34.260000000000005,40.74074074074074,1.148936170212766
95,108,108,234,18.9809,45.0336,68.42,37.96,39.81481481481482,1.1368421052631579
96,108,108,234,19.3759,45.67,62.5,37.96,43.51851851851852,1.125
97,108,108,234,22.1846,42.729,57.730000000000004,31.480000000000004,37.96296296296296,1.1134020618556701
98,108,108,234,20.3066,43.9392,59.18,37.04,45.370370370370374,1.1020408163265305
99,108,108,234,19.823,40.7843,68.69,34.260000000000005,37.03703703703704,1.0909090909090908
100,108,108,234,20.512,43.4317,62.0,38.89,37.96296296296296,1.08
