train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,test/train
6,18,19,130,0.0251,9.398,100.0,33.33,5.263157894736842,3.1666666666666665
8,29,30,136,0.3185,18.2141,100.0,27.589999999999996,23.333333333333332,3.75
11,47,46,169,1.0818,26.6903,81.82000000000001,27.66,32.608695652173914,4.181818181818182
13,53,52,186,0.3519,29.3696,100.0,33.96,36.53846153846153,4.0
16,73,67,192,1.9232,36.0188,75.0,31.509999999999998,28.35820895522388,4.1875
19,87,78,201,2.1033,42.6192,84.21,24.14,29.48717948717949,4.105263157894737
22,87,84,207,2.4463,47.7321,77.27000000000001,27.589999999999996,33.33333333333333,3.8181818181818183
25,87,84,207,2.7368,49.6176,80.0,32.18,28.57142857142857,3.36
28,93,90,213,4.318,49.7563,71.43,31.180000000000003,35.55555555555556,3.2142857142857144
31,96,92,219,4.4675,48.479,74.19,25.0,25.0,2.967741935483871
34,96,92,219,5.106,45.4566,70.59,29.17,32.608695652173914,2.7058823529411766
37,97,96,225,5.6663,47.1282,70.27,30.930000000000003,36.45833333333333,2.5945945945945947
40,104,104,231,7.5032,45.2781,60.0,29.81,36.53846153846153,2.6
43,104,104,231,7.0056,47.0269,74.42,30.769999999999996,31.73076923076923,2.4186046511627906
46,104,104,231,7.4577,37.2476,78.25999999999999,36.54,34.61538461538461,2.260869565217391
49,104,104,231,7.9838,40.7691,77.55,35.58,34.61538461538461,2.122448979591837
52,104,104,231,8.6017,39.1505,75.0,37.5,37.5,2.0
55,104,104,231,9.1942,42.5609,76.36,32.690000000000005,38.46153846153847,1.8909090909090909
58,108,108,234,9.0418,40.7245,74.14,35.19,42.592592592592595,1.8620689655172413
61,108,108,234,10.056,49.5465,73.77,35.19,43.51851851851852,1.7704918032786885
64,108,108,234,11.0649,45.5964,70.30999999999999,34.260000000000005,31.48148148148148,1.6875
67,108,108,234,12.1276,48.7209,64.18,31.480000000000004,34.25925925925926,1.6119402985074627
70,108,108,234,12.2127,47.6482,67.14,32.41,37.96296296296296,1.542857142857143
73,108,108,234,14.0495,49.3867,67.12,28.7,36.11111111111111,1.4794520547945205
76,108,108,234,16.1312,42.3189,63.160000000000004,34.260000000000005,47.22222222222222,1.4210526315789473
79,108,108,234,15.3874,47.0894,64.56,35.19,52.77777777777778,1.3670886075949367
82,108,108,234,16.5747,41.0513,62.2,37.96,31.48148148148148,1.3170731707317074
85,108,108,234,17.412,43.1089,63.53,37.96,40.74074074074074,1.2705882352941176
88,108,108,234,20.2575,43.2972,62.5,30.56,33.33333333333333,1.2272727272727273
91,108,108,234,20.221,39.3258,61.53999999999999,31.480000000000004,49.074074074074076,1.1868131868131868
94,108,108,234,18.6386,44.5611,64.89,32.41,35.18518518518518,1.148936170212766
97,108,108,234,20.4507,42.8611,61.86000000000001,38.89,43.51851851851852,1.1134020618556701
100,108,108,234,21.2988,42.5861,64.0,35.19,35.18518518518518,1.08
103,108,108,237,21.9717,42.847,65.05,34.260000000000005,37.03703703703704,1.0485436893203883
106,108,108,237,20.5492,46.2929,71.7,33.33,30.555555555555557,1.0188679245283019
109,108,108,237,21.9255,43.7588,65.14,32.41,37.96296296296296,0.9908256880733946
112,108,108,237,23.4377,40.2776,59.81999999999999,36.11,34.25925925925926,0.9642857142857143
115,108,108,237,23.2979,44.1786,65.22,38.89,41.66666666666667,0.9391304347826087
118,108,108,237,26.3703,41.9274,56.779999999999994,37.96,47.22222222222222,0.9152542372881356
121,108,108,237,26.7156,37.2491,62.81,39.81,39.81481481481482,0.8925619834710744
124,110,109,249,25.2625,44.4585,66.94,36.36,34.862385321100916,0.8790322580645161
127,110,109,249,32.9996,37.7212,57.48,33.64,40.36697247706422,0.8582677165354331
130,110,109,249,29.8747,42.0161,56.15,35.449999999999996,34.862385321100916,0.8384615384615385
133,110,109,249,28.4307,43.7478,63.160000000000004,31.819999999999997,39.44954128440367,0.8195488721804511
136,111,110,264,30.1669,42.2599,63.239999999999995,33.33,47.27272727272727,0.8088235294117647
139,111,110,264,30.0953,46.1965,65.47,33.33,31.818181818181817,0.7913669064748201
142,111,110,264,32.6876,41.1363,61.970000000000006,31.53,40.909090909090914,0.7746478873239436
145,111,110,264,36.5969,40.6072,52.410000000000004,37.84,42.72727272727273,0.7586206896551724
148,111,110,264,32.7697,43.3662,59.46,37.84,51.81818181818182,0.7432432432432432
151,111,110,264,39.8964,42.0065,56.95,35.14,30.0,0.7284768211920529
154,111,110,264,35.2308,44.7647,62.339999999999996,38.74,49.09090909090909,0.7142857142857143
157,111,110,264,36.7394,43.1973,62.419999999999995,32.43,38.18181818181819,0.7006369426751592
160,111,110,264,35.8413,41.5393,59.38,29.73,46.36363636363636,0.6875
163,111,110,264,38.1256,41.3912,59.51,32.43,44.54545454545455,0.6748466257668712
166,111,110,264,41.692,43.0544,53.61,27.93,35.45454545454545,0.6626506024096386
