train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,train/test
5,5,8,107,0.1045,0.6778,100.0,80.0,87.5,1.6
6,18,19,134,0.0553,1.3054,100.0,55.559999999999995,63.15789000000001,3.1666666666666665
7,22,25,137,0.0569,1.13,100.0,63.63999999999999,68.0,3.5714285714285716
8,29,30,140,0.0461,1.144,100.0,65.52,66.66667,3.75
9,37,35,152,0.0647,0.9897,100.0,67.57,65.71428999999999,3.888888888888889
10,45,42,161,0.0411,1.4037,100.0,53.33,71.428573,4.2
11,47,46,173,0.0687,1.4585,100.0,48.94,71.73912999999999,4.181818181818182
12,47,46,173,0.0887,1.4869,100.0,51.06,71.73912999999999,3.8333333333333335
13,53,52,190,0.0467,1.4197,100.0,52.83,71.15384999999999,4.0
14,70,64,193,0.0502,1.1586,100.0,61.42999999999999,75.0,4.571428571428571
15,70,64,193,0.0592,1.1833,100.0,60.0,75.0,4.266666666666667
16,73,67,196,0.0614,1.237,100.0,57.53,74.62687,4.1875
17,73,67,196,0.0897,1.4258,100.0,57.53,74.62687,3.9411764705882355
18,85,74,199,0.0696,1.2249,100.0,60.0,72.97297,4.111111111111111
19,87,78,205,0.0546,1.1986,100.0,59.77,74.358976,4.105263157894737
20,87,81,208,0.0762,1.1299,100.0,63.22,76.54320999999999,4.05
21,87,84,211,0.0634,1.2368,100.0,63.22,75.0,4.0
22,87,84,211,0.1185,1.0146,95.45,60.919999999999995,71.428573,3.8181818181818183
23,87,84,211,0.1127,0.8963,100.0,62.07,69.04762,3.652173913043478
24,87,84,211,0.1149,0.8454,100.0,60.919999999999995,72.61905,3.5
25,87,84,211,0.0998,0.8793,100.0,60.919999999999995,73.80951999999999,3.36
26,90,89,214,0.1161,0.9725,100.0,56.67,70.78652,3.423076923076923
27,93,90,217,0.0929,0.9641,100.0,58.06,71.11111,3.3333333333333335
28,93,90,217,0.1279,0.978,96.43,55.910000000000004,72.222227,3.2142857142857144
29,93,90,217,0.1194,0.9505,96.55,56.989999999999995,72.222227,3.103448275862069
