bin,fidelity,bins_x,P_harr_hist
0.000000000000000000e+00,9.717682020802347054e-02,1.333333333333333419e-02,8.968186560025037668e-02
1.333333333333333419e-02,5.616641901931630765e-02,2.666666666666666838e-02,8.269775334403262068e-02
2.666666666666666838e-02,5.542347696879623697e-02,4.000000000000000083e-02,7.617290294755718616e-02
4.000000000000000083e-02,5.304606240713205523e-02,5.333333333333333676e-02,7.008282938809518026e-02
5.333333333333333676e-02,5.111441307577990756e-02,6.666666666666666574e-02,6.440404003236455122e-02
6.666666666666666574e-02,5.869242199108448688e-02,8.000000000000000167e-02,5.911400745121986322e-02
8.000000000000000167e-02,5.141158989598793028e-02,9.333333333333333759e-02,5.419114261192670146e-02
9.333333333333333759e-02,5.572065378900425969e-02,1.066666666666666735e-01,4.961476844800111197e-02
1.066666666666666735e-01,6.002971768202064462e-02,1.200000000000000094e-01,4.536509380663239499e-02
1.199999999999999956e-01,6.775631500742917979e-02,1.333333333333333315e-01,4.142318777366937876e-02
1.333333333333333315e-01,5.497771173848420290e-02,1.466666666666666674e-01,3.777095437618704921e-02
1.466666666666666674e-01,4.888558692421973717e-02,1.600000000000000033e-01,3.439110766262365448e-02
1.600000000000000033e-01,4.338781575037131688e-02,1.733333333333333393e-01,3.126714716049494580e-02
1.733333333333333393e-01,3.878157503714696475e-02,1.866666666666666752e-01,2.838333371167717223e-02
1.866666666666666752e-01,3.164933135215441951e-02,2.000000000000000111e-01,2.572466568526773911e-02
2.000000000000000111e-01,2.867756315007419232e-02,2.133333333333333470e-01,2.327685556801800670e-02
2.133333333333333470e-01,2.481426448736989698e-02,2.266666666666666829e-01,2.102630693233889514e-02
2.266666666666666552e-01,2.585438335809797650e-02,2.399999999999999911e-01,1.896009178188315381e-02
2.399999999999999911e-01,2.095096582466560164e-02,2.533333333333332993e-01,1.706592827469735618e-02
2.533333333333333548e-01,1.367013372956904504e-02,2.666666666666666630e-01,1.533215882394965701e-02
2.666666666666666630e-01,9.063893016344692910e-03,2.799999999999999711e-01,1.374772857623303424e-02
2.800000000000000266e-01,9.063893016344692910e-03,2.933333333333333348e-01,1.230216426743686864e-02
2.933333333333333348e-01,5.052005943536386212e-03,3.066666666666666430e-01,1.098555345619867119e-02
3.066666666666666430e-01,7.875185735512602037e-03,3.199999999999999512e-01,9.788524134924467268e-03
3.200000000000000067e-01,5.943536404160454367e-03,3.333333333333333148e-01,8.702224718384846125e-03
3.333333333333333148e-01,4.606240713224352135e-03,3.466666666666666230e-01,7.718304409885669293e-03
3.466666666666666785e-01,3.863298662704295339e-03,3.599999999999999867e-01,6.828893945009441302e-03
