train/circ,valid/circ,test/circ,train/acc,valid/acc,test/acc
10,10,5,70.0,0.0,0.0
20,20,20,60.0,25.0,25.0
30,30,30,70.0,16.666666666666664,23.333333333333332
40,40,40,77.5,40.0,20.0
50,50,50,74.0,40.0,24.0
60,60,60,75.0,25.0,8.333333333333332
70,70,70,71.42857142857143,51.42857142857142,21.428571428571427
80,80,80,62.5,46.25,22.5
90,90,90,55.55555555555556,40.0,18.88888888888889
100,100,100,54.0,45.0,28.000000000000004
110,110,110,53.63636363636364,44.54545454545455,26.36363636363636
120,120,114,50.0,20.72072072072072,26.31578947368421
130,130,114,53.84615384615385,35.13513513513514,29.82456140350877
140,140,114,52.142857142857146,31.53153153153153,24.561403508771928
150,150,114,53.333333333333336,34.234234234234236,21.052631578947366
160,160,114,55.00000000000001,32.432432432432435,28.947368421052634
170,170,114,52.94117647058824,40.54054054054054,30.701754385964914
180,180,114,52.22222222222223,38.73873873873874,28.07017543859649
190,190,114,53.1578947368421,26.126126126126124,16.666666666666664
200,200,119,55.50000000000001,30.973451327433626,22.689075630252102
210,210,119,53.333333333333336,29.20353982300885,26.05042016806723
220,220,119,55.45454545454545,20.353982300884958,24.369747899159663
230,230,119,54.78260869565217,24.778761061946902,27.73109243697479
240,240,119,55.41666666666667,31.858407079646017,30.252100840336134
250,250,119,54.0,22.123893805309734,31.932773109243694
260,260,119,55.00000000000001,27.43362831858407,26.05042016806723
270,270,130,56.666666666666664,31.2,28.46153846153846
280,280,130,55.714285714285715,30.4,28.46153846153846
290,290,130,55.51724137931034,25.6,24.615384615384617
300,300,130,56.99999999999999,24.0,23.846153846153847
310,310,130,54.516129032258064,23.200000000000003,24.615384615384617
320,320,130,54.6875,18.4,31.538461538461537
330,330,130,55.15151515151515,20.8,28.46153846153846
340,340,131,55.294117647058826,23.809523809523807,29.770992366412212
350,350,135,56.00000000000001,15.079365079365079,27.40740740740741
360,360,135,54.44444444444444,23.809523809523807,34.81481481481482
370,370,135,54.59459459459459,11.904761904761903,39.25925925925926
380,380,135,55.26315789473685,11.11111111111111,30.37037037037037
390,390,135,54.78036175710594,14.285714285714285,28.888888888888886
