train/circ,valid/circ,test/circ,train/acc,valid/acc,test/acc
25,25,25,68.0,40.0,28.000000000000004
50,50,50,76.0,18.0,34.0
75,75,75,68.0,29.333333333333332,33.33333333333333
100,100,100,51.0,33.0,28.999999999999996
125,125,114,53.6,38.73873873873874,29.82456140350877
150,150,114,51.33333333333333,33.33333333333333,28.947368421052634
175,175,114,53.142857142857146,33.33333333333333,20.175438596491226
200,200,119,54.0,26.548672566371685,21.008403361344538
225,225,119,55.55555555555556,29.20353982300885,19.327731092436977
250,250,119,53.2,32.743362831858406,28.57142857142857
275,275,130,54.54545454545454,32.800000000000004,32.30769230769231
300,300,130,59.0,34.4,31.538461538461537
325,325,130,55.69230769230769,42.4,30.76923076923077
350,350,135,54.85714285714286,42.857142857142854,32.592592592592595
