train/circ,valid/circ,test/circ,train/acc,valid/acc,test/acc
25,25,25,100.0,60.0,68.0
50,50,50,100.0,70.0,82.0
75,75,75,98.66666666666667,60.0,68.0
100,100,100,97.0,76.0,75.0
125,125,115,100.0,86.60714285714286,85.21739130434783
150,150,115,97.33333333333334,86.60714285714286,86.08695652173914
175,175,115,93.14285714285714,83.03571428571429,86.95652173913044
200,200,116,97.0,88.39285714285714,87.93103448275862
225,225,120,94.66666666666667,85.08771929824562,89.16666666666667
250,250,120,97.2,91.22807017543859,95.0
275,275,129,96.0,90.1639344262295,92.24806201550388
300,300,131,96.66666666666667,89.76377952755905,93.89312977099237
325,325,131,96.92307692307692,93.7007874015748,93.12977099236642
350,350,136,98.28571428571429,93.75,89.70588235294117
375,375,136,97.86666666666667,92.1875,95.58823529411765
393,400,136,98.21882951653944,94.53125,97.79411764705883
