train/circ,valid/circ,test/circ,train/acc,valid/acc,test/acc
10,10,5,80.0,11.11111111111111,0.0
30,30,30,66.66666666666666,33.33333333333333,30.0
50,50,50,66.0,28.000000000000004,30.0
70,70,70,64.28571428571429,25.71428571428571,20.0
90,90,90,57.77777777777777,12.222222222222221,12.222222222222221
110,110,110,56.36363636363636,38.18181818181819,17.272727272727273
130,130,113,60.0,31.53153153153153,23.008849557522122
150,150,113,55.333333333333336,23.423423423423422,21.238938053097346
170,170,113,56.470588235294116,27.927927927927925,30.08849557522124
190,190,113,56.84210526315789,30.630630630630627,20.353982300884958
210,210,118,58.57142857142858,29.20353982300885,24.576271186440678
230,230,118,55.65217391304348,25.663716814159294,22.033898305084744
250,250,118,56.8,28.31858407079646,27.11864406779661
270,270,127,56.666666666666664,30.833333333333336,25.196850393700785
290,290,129,53.79310344827586,27.200000000000003,24.031007751937985
310,310,129,51.61290322580645,28.000000000000004,26.356589147286826
330,330,129,44.54545454545455,28.799999999999997,32.55813953488372
350,350,134,41.42857142857143,26.984126984126984,29.850746268656714
370,370,134,41.62162162162162,30.158730158730158,29.1044776119403
389,389,134,43.18766066838046,30.952380952380953,32.83582089552239
